,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,vardo,70.3705,31.1107,13.11,100,90,3.6,NO,1627409375
292,akdepe,42.0551,59.3788,30.0,26,0,6.57,TM,1627409676
293,celinac,44.7228,17.3278,31.37,52,80,1.6,BA,1627409676
294,zyryanka,65.75,150.85,8.81,65,100,4.85,RU,1627409537
295,benghazi,32.1167,20.0667,26.98,66,0,7.36,LY,1627409677
296,safaga,26.7292,33.9365,32.92,45,1,3.85,EG,1627409677
297,mogadishu,2.0371,45.3438,24.76,81,96,9.69,SO,1627409677
298,tecoanapa,16.5167,-98.75,30.91,58,84,3.12,MX,1627409678
299,evensk,61.95,159.2333,11.41,65,100,3.98,RU,1627409678
300,bud,39.447,-86.1758,32.05,50,0,0.61,US,1627409678
301,tsumeb,-19.2333,17.7167,16.01,26,0,3.56,NA,1627409444
302,toamasina,-18.1667,49.3833,19.26,84,24,4.68,MG,1627409679
303,santa marta,11.2408,-74.199,27.93,78,72,2.33,CO,1627409521
304,porbandar,21.6422,69.6093,27.77,84,100,10.71,IN,1627409679
305,goundam,16.4145,-3.6708,36.03,35,95,5.08,ML,1627409680
306,ilebo,-4.3167,20.5833,24.03,26,98,0.88,CD,1627409680
307,leningradskiy,69.3833,178.4167,2.05,98,100,2.61,RU,1627409186
308,christchurch,-43.5333,172.6333,3.28,85,17,0.45,NZ,1627409681
309,sibolga,1.7427,98.7792,25.07,89,60,1.06,ID,1627409161
310,sovetskiy,61.3614,63.5842,7.94,73,50,2.36,RU,1627409681
311,port shepstone,-30.7414,30.455,17.32,39,6,2.33,ZA,1627409681
312,teya,60.3778,92.6267,14.96,97,100,2.1,RU,1627409450
313,tamsweg,47.1281,13.811,20.2,87,74,2.02,AT,1627409682
314,namuac,18.6109,121.1657,27.75,79,100,4.19,PH,1627409440
315,chimbote,-9.0853,-78.5783,21.81,71,28,5.0,PE,1627409682
316,stepnyak,52.8339,70.7803,13.37,60,62,4.04,KZ,1627409683
317,bambous virieux,-20.3428,57.7575,19.56,85,95,7.05,MU,1627409347
318,chicama,-7.8447,-79.1469,19.3,58,20,4.87,PE,1627409383
319,talcahuano,-36.7167,-73.1167,12.82,50,0,7.72,CL,1627409472
320,sampit,-2.5333,112.95,23.46,93,89,1.05,ID,1627409237
321,govindgarh,27.5,76.9833,28.15,78,95,5.67,IN,1627409684
322,hirara,24.8,125.2833,27.74,90,87,2.74,JP,1627409396
323,nago,26.5881,127.9761,28.04,94,89,4.94,JP,1627409684
324,luganville,-15.5333,167.1667,24.62,86,99,5.86,VU,1627409684
325,frankfort,-27.2667,28.4833,7.73,37,0,1.38,ZA,1627409685
326,inverell,-29.7833,151.1167,8.42,67,0,1.34,AU,1627409685
327,riberalta,-10.9833,-66.1,36.73,28,25,0.38,BO,1627409685
328,ust-nera,64.5667,143.2,9.14,89,99,3.02,RU,1627409685
329,joao pinheiro,-17.7425,-46.1725,28.06,19,1,2.11,BR,1627409459
330,rawlins,41.7911,-107.2387,30.94,19,1,2.57,US,1627409686
331,potosi,-19.5836,-65.7531,11.08,19,3,12.09,BO,1627409686
332,okhotsk,59.3833,143.3,14.18,90,4,2.41,RU,1627409686
333,maloy,61.9353,5.1136,22.36,93,100,4.4,NO,1627409687
334,poum,-20.2333,164.0167,20.66,70,29,5.23,NC,1627409448
335,tehachapi,35.1322,-118.449,30.45,37,1,4.02,US,1627409687
336,stonewall,50.1344,-97.3268,28.9,24,0,2.08,CA,1627409688
337,namibe,-15.1961,12.1522,19.39,82,26,2.67,AO,1627409369
338,anadyr,64.75,177.4833,10.0,99,100,4.02,RU,1627409336
339,nome,64.5011,-165.4064,10.04,93,90,3.09,US,1627409410
340,conchas,-23.0153,-48.0106,31.06,20,0,7.59,BR,1627409688
341,pacific grove,36.6177,-121.9166,29.34,81,1,0.45,US,1627409406
342,cherskiy,68.75,161.3,2.15,85,91,7.61,RU,1627409340
343,yambio,4.5721,28.3955,19.38,97,95,0.92,SS,1627409689
344,pran buri,12.3847,99.9098,29.94,68,100,5.09,TH,1627409472
345,warrnambool,-38.3833,142.4833,14.34,83,88,11.69,AU,1627409689
346,carutapera,-1.195,-46.02,28.91,67,49,3.8,BR,1627409351
347,la asuncion,11.0333,-63.8628,28.26,73,4,5.71,VE,1627409690
348,namsos,64.4662,11.4957,27.03,44,0,3.09,NO,1627409690
349,wundanyi,-3.4019,38.364,14.67,79,74,4.66,KE,1627409690
350,crowley,30.2141,-92.3746,34.1,71,1,0.53,US,1627409540
351,aleksandrovskoye,44.7142,43.0008,16.08,69,100,6.19,RU,1627409691
352,kamaishi,39.2667,141.8833,22.37,98,98,6.07,JP,1627409433
353,puerto del rosario,28.5004,-13.8627,25.86,57,20,9.26,ES,1627409691
354,honiara,-9.4333,159.95,24.96,89,79,3.11,SB,1627409692
355,beidao,34.5686,105.8933,18.88,80,69,0.47,CN,1627409692
356,moranbah,-22.0016,148.0466,11.58,89,22,1.68,AU,1627409692
357,sur,22.5667,59.5289,35.42,46,100,7.84,OM,1627409328
358,limuru,-1.1,36.65,13.13,82,99,2.6,KE,1627409693
359,nizhniy kuranakh,58.8353,125.4869,16.79,95,28,0.63,RU,1627409493
360,honningsvag,70.9821,25.9704,7.74,100,90,4.63,NO,1627409693
361,kazerun,29.6195,51.6541,37.22,11,40,10.22,IR,1627409693
362,necochea,-38.5473,-58.7368,8.35,78,93,11.69,AR,1627409392
363,la crosse,43.8014,-91.2396,24.95,83,20,4.63,US,1627409694
364,awbari,26.5921,12.7805,34.67,13,3,4.15,LY,1627409436
365,san quintin,30.4833,-115.95,24.17,68,7,4.67,MX,1627409694
